Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),"	24h Low (USD)",Adj Close,Volume
USD,10/15/2015,254.320007,252.106995,255.962006,252.046005,254.320007,25223500
USD,10/16/2015,262.868988,254.296005,266.13501,253.925995,262.868988,35901500
USD,10/17/2015,270.640015,262.747009,273.578003,262.367004,270.640015,43199600
USD,10/18/2015,261.643005,270.907013,271.667999,260.777008,261.643005,22434300
USD,10/19/2015,263.437012,261.860992,264.820007,260.950989,263.437012,25258800
USD,10/20/2015,269.463013,263.571991,270.834991,263.22699,269.463013,30889800
USD,10/21/2015,266.272003,269.306,270.769989,263.838989,266.272003,25637300
USD,10/22/2015,274.02301,266.496002,276.51001,266.13501,274.02301,37808600
USD,10/23/2015,276.496002,273.648987,278.68399,273.542999,276.496002,29442500
USD,10/24/2015,281.653992,276.503998,281.705994,276.503998,281.653992,25942400
USD,10/25/2015,283.679993,281.445007,294.05899,281.445007,283.679993,45717100
USD,10/26/2015,285.299988,283.627991,285.299988,280.51001,285.299988,32108800
USD,10/27/2015,293.787994,285.181,296.212006,285.007996,293.787994,46331800
USD,10/28/2015,304.618011,293.703003,306.330994,293.703003,304.618011,50808100
USD,10/29/2015,313.855011,304.324005,318.170013,301.822998,313.855011,64495900
USD,10/30/2015,328.015015,313.942993,334.169006,313.940002,328.015015,78305000
USD,10/31/2015,314.165985,328.511993,332.777008,309.251007,314.165985,48598100
USD,11/1/2015,325.431,315.005005,327.471985,311.881012,325.431,37001100
USD,11/2/2015,361.188995,325.941986,365.359985,323.209015,361.188995,101918000
USD,11/3/2015,403.416992,361.872986,417.899994,357.647003,403.416992,206162000
USD,11/4/2015,411.562988,403.664001,495.562012,380.548004,411.562988,263900000
USD,11/5/2015,386.354004,408.076996,447.561005,374.580994,386.354004,151824992
USD,11/6/2015,374.470001,388.046997,395.835999,354.024994,374.470001,122687000
USD,11/7/2015,386.481995,374.269012,390.585999,372.433014,386.481995,56625100
USD,11/8/2015,373.368011,384.278015,389.894989,368.700012,373.368011,51817600
USD,11/9/2015,380.256989,374.324005,385.278015,362.894989,380.256989,68224400
USD,11/10/2015,336.819,379.984009,381.386993,329.108002,336.819,95797904
USD,11/11/2015,311.084015,339.820007,340.584991,300.997009,311.084015,107070000
USD,11/12/2015,338.152008,314.07901,345.080994,313.355988,338.152008,78477800
USD,11/13/2015,336.752991,338.497986,340.914001,326.075012,336.752991,52003000
USD,11/14/2015,332.906006,336.623993,338.181,329.970001,332.906006,38612000
USD,11/15/2015,320.165985,333.050995,334.661987,317.48999,320.165985,44213100
USD,11/16/2015,330.751007,319.734985,331.626007,315.904999,330.751007,47980100
USD,11/17/2015,335.093994,330.362,338.350006,329.614014,335.093994,51001600
USD,11/18/2015,334.589996,334.592987,336.531006,330.640015,334.589996,43783800
USD,11/19/2015,326.148987,334.678986,335.334015,325.27301,326.148987,45011100
USD,11/20/2015,322.022003,326.411011,326.472992,312.21701,322.022003,53152900
USD,11/21/2015,326.927002,322.09201,328.158997,319.595001,326.927002,28200500
USD,11/22/2015,324.536011,326.975006,327.01001,321.259003,324.536011,23439400
USD,11/23/2015,323.04599,324.350006,325.118011,321.290009,323.04599,27478900
USD,11/24/2015,320.04599,323.014008,323.058014,318.118011,320.04599,29362600
USD,11/25/2015,328.205994,320.045013,329.134003,316.769989,328.205994,41666900
USD,11/26/2015,352.68399,328.303009,366.756989,328.229004,352.68399,106105000
USD,11/27/2015,358.041992,351.860992,363.588989,347.869995,358.041992,55179100
USD,11/28/2015,357.381012,357.140991,359.536011,352.171997,357.381012,36816600
USD,11/29/2015,371.294006,357.471985,371.938995,355.665985,371.294006,40409300
USD,11/30/2015,377.321014,371.437012,382.363007,370.382996,377.321014,71701600
USD,12/1/2015,362.488007,377.414001,378.931,356.562988,362.488007,60452200
USD,12/2/2015,359.187012,361.845001,362.231995,349.464996,359.187012,54160500
USD,12/3/2015,361.04599,359.330994,370.274994,357.411987,361.04599,50714900
USD,12/4/2015,363.183014,361.261993,363.515991,355.756989,363.183014,35784100
USD,12/5/2015,388.949005,363.721008,389.785004,363.229004,388.949005,66282200
USD,12/6/2015,388.78299,389.554993,402.80899,387.088989,388.78299,77762000
USD,12/7/2015,395.536011,389.977997,399.968994,385.411011,395.536011,63455800
USD,12/8/2015,415.562988,395.753998,415.562988,389.950012,415.562988,57801400
USD,12/9/2015,417.562988,414.44101,423.119995,406.290985,417.562988,90917200
USD,12/10/2015,415.479004,417.988007,419.509003,411.548004,415.479004,52138900
USD,12/11/2015,451.937988,415.281006,451.937988,415.281006,451.937988,110944000
USD,12/12/2015,434.997009,452.334991,469.102997,410.740997,434.997009,131969000
USD,12/13/2015,433.755005,431.660004,441.679993,426.268005,433.755005,55050600
USD,12/14/2015,444.182007,433.272003,447.141998,430.455994,444.182007,130496000
USD,12/15/2015,465.321014,443.877991,465.321014,443.877991,465.321014,83121104
USD,12/16/2015,454.93399,465.208008,465.208008,443.851013,454.93399,107944000
USD,12/17/2015,456.078003,454.777008,457.859985,448.858002,456.078003,47978400
